objectid,parentid,title,creator,date,estimatedate,description,object_transcript,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text
kletter_3c,kletter_3a,Page 2,"O'Reilly, Kathleen",1899-12-30,,,"Mother;s silk (red shot) is in one of them, but the velvet is in Scotter's care.
We did not leave Rome six Monday morning We had as intended because Uncle Joe had a cold + the weather was changable + wet. but we persuaded him to come here yesterday + I think he has benefitted by the change of air for he is certainly much better. On Sunday afternoon we did not go to tea with the [Frisk] people but with some charming Italian ladies at the Grand hotel. They live in Florence + came here on Monday. We are to visit them tomorrow.
The King opened Parliament in person on Monday morning + Josephine + I issued forth to see the procession which was really very splendid. [] had a tiresome long wait for it and flowed that to see anything we must discharge our [cabweake] + go on goot in the crowd as carriages were not allowed in the Piazza near the Parliament buildings + there was a double row of soldiers everywhere!",,,,,BC Archives,"MS-2894, Box 45, File 10",,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/kletter_3c.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/kletter_3c_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/kletter_3c_th.jpg,
kletter_3d,kletter_3a,Page 3,"O'Reilly, Kathleen",1899-12-30,,,"There [] a chair to stand on from a man in the crowd which was splendid. I thought as I could see over the heads of the poeple in front but Josephine wd not have one so I don't think she saw much. The [] is very gracious + beautiful. There were a great many gorgeous [] + gold glass coaches with all the foot men in scarlet + the hourses with white plumes. The queens' procession came about ten minutes before the Kings. The princess of Naples was with the Queen + her mother the Duchess of Genoa in another coach. The mounted soldiers were splendid on their black chargers. They were as magnifiecnt as the Horse Guards in London. At first in waiting we were exhausted with the heat of the [] Fortunately I had my big umbrtella, we were so pleased with the pageant that we dediced to wait + see the return but by that time it had clouded over + the rainm was [] us in a downpour when the King passed",,,,,BC Archives,"MS-2894, Box 45, File 10",,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/kletter_3d.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/kletter_3d_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/kletter_3d_th.jpg,
kletter_3e,kletter_3a,Page 8,"O'Reilly, Kathleen",1899-12-30,,,"are well dressed, look good [] + have beautiful carriages + horses. Yesterday we saw the Prince + Princess of Naples driving there. The day before yesterday we drove to the top of one of the hills called Certosa where there is a beautiful monestary. The views by the way are more lvoely than I can describe. This is Sunday morning + we are starting for Venice at 11am. I don't know why Uncle Joe decided to travel today. The weather is perfect and we are looking forward to Venice. Much love to you all dears. 
From your loving daughter
Kathleen OReilly",,"Venice, Italy",,,BC Archives,"MS-2894, Box 45, File 10",,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/kletter_3e.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/kletter_3e_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/kletter_3e_th.jpg,
kletter_3f,kletter_3a,Page 5,"O'Reilly, Kathleen",1899-12-30,,,"one from Miss Preston who has gone to Naples, with her mother and promised to get me a toitoise shell comb, which is said to be very inexcpensive there. I always have lettwers to write not it is quite a business. Rome the 'Eternal City' is most interesting but Florence 'Le Bella' appeals to me more. It is so beautiful. This morning we [] at the [Afize] Galllery filled with art trastures including [] + sculptures. Uncle Joe gets rather tired of it + was glad to carry us off to lunch but I was so interested. It is an immense palace, once could continue to go to for months before seeing it all. I really don't kn ow enough about the things or the history of the country + art to appriacte + enjoy it thoroughly + have longed for someone like",,,,,BC Archives,"MS-2894, Box 45, File 10",,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/kletter_3f.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/kletter_3f_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/kletter_3f_th.jpg,
kletter_3g,kletter_3a,Page 6,"O'Reilly, Kathleen",1899-12-30,,,dear old Sir Mathew to act as walking encyclopedia for me! After lunch we drove to a place called Fiesole at the top of a mountain or hill from which one gets a magnificent panoramic view of Florence and the surrounding country. There is so much of interest + beauty everywhere. 11th March. I have not been able to finish my letter before as we have been doing something each day + our Italian frienda have filled up the gaps! They think it is dreadful our leaving Florence today + have begged us to stay and let them show us everthing. They are artists. The water now is perfectly beautiful + Uncle Joe has almost quite lost his cold. We have been seeing churches + galleries in the mornings and taking drives in the afternoon so that we don't really get tired for,,,,,BC Archives,"MS-2894, Box 45, File 10",,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/kletter_3g.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/kletter_3g_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/kletter_3g_th.jpg,
kletter_3h,kletter_3a,Page 7,"O'Reilly, Kathleen",1899-12-30,,,"both the Josephs soon are [] of pictures etc. She always says '[] [] seen enough of this old place let's go home to lunch' which makes him give her a lecture, but really he is just as ready to go himself. I bought [Ruskin] on Florence and have [] the others by insisting on seeing what he says one out to look at here. I must confess in my opinions the most defaced and hideous old scupture + extrodinary frescoes! Still it gave us a mornings ammusment, taught us how well appreciative we are of these old relics + of course part of his book is clever + it is interesting to hear what he thinks. We have twice driven in the park which is beautifully laid out + one sees all the wealth + beauty of Florence between five + six the fashionable hour. They",,,,,BC Archives,"MS-2894, Box 45, File 10",,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/kletter_3h.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/kletter_3h_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/kletter_3h_th.jpg,
cletter_2a,,"Letter, Caroline to Kathleen","O'Reilly, Caroline",1897-05-06,,,"My very dear Kitty,
I am afraid I have been a poor correspondant lately. you must forgive me, my dear child. I have been, I confess, an idle [] given to [] [] [] for I have not seen a novel for weeks [] [] a few + [] I feel if I dont that I have nothing to talk about when I meet people + the weather has tempted me a good deal into the garden. it is all put in order now + ready for the [] + c. we shall have a good ",,,,,BC Archives,"MS-2894, Box 27, File 3",,,,,,Compound_object,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/cletter_2a.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/cletter_2a_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/cletter_2a_th.jpg,
cletter_2b,cletter_2a,"Letter, Caroline to Kathleen","O'Reilly, Caroline",1897-05-06,,,,,,,,,,,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/cletter_2b.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/cletter_2b_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/cletter_2b_th.jpg,
cletter_2c,cletter_2a,"Letter, Caroline to Kathleen","O'Reilly, Caroline",1897-05-06,,,,,,,,,,,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/cletter_2c.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/cletter_2c_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/cletter_2c_th.jpg,
cletter_2d,cletter_2a,"Letter, Caroline to Kathleen","O'Reilly, Caroline",1897-05-06,,,,,,,,,,,,,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/cletter_2d.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/cletter_2d_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/cletter_2d_th.jpg,
